No.,Date,Sub Genre,CollectionName,No.,SongDate,Artist Name,Song Name,Sub Genre 1,Sub Genre 2,YouTube URL,Memo,Tagline,Bot Name,,,,,,,,
14,2016-11-29,Funk/Groove,1989,82,2016-11-30,Billy Joel,We Didn't Start the Fire,Dance Rock,,https://www.youtube.com/watch?v=eFTLKWw542g,Good,SONG OF THE 20TH CENTURY ,MichaelBryant,,,,,,,,
14,2016-11-29,Funk/Groove,1989,83,2016-12-01,Young MC,Bust A Move,Funk/Groove,,https://www.youtube.com/watch?v=tZQQGX24Teg,Good,"IF YOU WANT IT, YOU GOT IT",MichaelBryant,,,,,,,,
14,2016-11-29,Funk/Groove,1989,84,2016-12-01,Jive Bunny and The Master Mixes,Swing The Mood,Funk/Groove,,https://www.youtube.com/watch?v=ygIcyOSITgo,Good,LET'S TWIST AGAIN,MichaelBryant,,,,,,,,
15,2016-11-29,Dance Pop,Pop On The Run,85,2016-11-30,The Weekend,False Alarm,Alternative R&B,,https://www.youtube.com/watch?v=CW5oGRx9CLM,Good,A DARK PHILOSOPHY,zackattack99,,,,,,,,
15,2016-11-29,Dance Pop,Pop On The Run,86,2016-11-30,Ke$ha,Tik Tok,Dance Pop,,https://www.youtube.com/watch?v=iP6XpLQM2Cs,Good,TILL WE SEE THE SUNLIGHT,zackattack99,,,,,,,,
15,2016-11-29,Dance Pop,Pop On The Run,87,2016-11-30,David Guetta,Love is Gone,House,,https://www.youtube.com/watch?v=beGjncfEPt8,Good,GOT TO FIND A REASON,zackattack99,,,,,,,,
15,2016-11-29,Dance Pop,Pop On The Run,88,2016-11-30,Pittbull,International Love ft. Chris Brown,Dance Pop,,https://www.youtube.com/watch?v=CdXesX6mYUE,Good, EVERYWHERE? EVERYWHERE.,zackattack99,,,,,,,,
15,2016-11-29,Dance Pop,Pop On The Run,89,2016-12-01,Chemical Brothers,C-h-e-m-i-c-a-l,House,,https://www.youtube.com/watch?v=3yiVDrX6vG0,Good,LET YOUR BODY ROCK,zackattack99,,,,,,,,
15,2016-11-29,Dance Pop,Pop On The Run,90,2016-12-01,Katie Burden,Run For Your Life,Alt/Indie,,https://www.youtube.com/watch?v=h_nJnAYcxl0,Good,WHY ARE YOU SO SURPRISED?,zackattack99,,,,,,,,
16,2016-11-30,Funk/Groove,RETRO INSPIRED POP,91,2016-11-29,Christina Aguilera,Candyman,Funk/Groove,,https://www.youtube.com/watch?v=-ScjucUV8v0,Good,SUGARCOATED,DocTastic,,,,,,,,
16,2016-11-30,Funk/Groove,RETRO INSPIRED POP,92,2016-11-29,DNCE,Cake By The Ocean,Funk/Groove,,https://www.youtube.com/watch?v=vWaRiD5ym74,Good,HAVE IT AND EAT IT TOO,DocTastic,,,,,,,,
16,2016-11-30,Funk/Groove,RETRO INSPIRED POP,93,2016-12-01,Caravan Palace,Dramophone,House,,https://www.youtube.com/watch?v=A7lxd7RL1To,Good,CUTTING ELECTRIC RUGS,DocTastic,,,,,,,,
16,2016-11-30,Funk/Groove,RETRO INSPIRED POP,94,2016-12-01,"Mark Ronson, The Business Intl.",Bang Bang Bang,Funk/Groove,,https://www.youtube.com/watch?v=TM6TCGltfHM,Good,WE LIVE THE BON BON VIE,DocTastic,,,,,,,,
16,2016-11-30,Funk/Groove,RETRO INSPIRED POP,95,2016-12-01,Tom Odell,Silhouette,Dance Rock,,https://www.youtube.com/watch?v=zIDPPzCT4Ew,Good,SOMETHING'S CHANGED,DocTastic,,,,,,,,
16,2016-11-30,Funk/Groove,RETRO INSPIRED POP,96,2016-12-01,Ankathie Koi,Little Hell,Funk/Groove,,https://www.youtube.com/watch?v=lh4XFfhbe0k,Good,WEINERPOPMUSIK,DocTastic,,,,,,,,
17,2016-11-30,Classic Pop,INTOXICATED,97,2016-11-29,Amy Winehouse,You Know I'm No Good,Funk/Groove,,https://www.youtube.com/watch?v=b-I2s5zRbHg,Good,I CHEATED MYSELF,Tricia Scott,,,,,,,,
17,2016-11-30,Classic Pop,INTOXICATED,98,2016-11-29,Sia,Chandelier,Classic Pop,,https://www.youtube.com/watch?v=2vjPBrBU-TM,Good,LIKE TOMORROW DOESN'T EXIST,Tricia Scott,,,,,,,,
17,2016-11-30,Classic Pop,INTOXICATED,99,2016-12-01,MGMT,It's Working,New Wave/Ethereal,,https://www.youtube.com/watch?v=JyaDTiXH3R4,Good,TURN THE NOISE ON,Tricia Scott,,,,,,,,
17,2016-11-30,Classic Pop,INTOXICATED,100,2016-12-01,One Direction,Drag Me Down,Classic Pop,,https://www.youtube.com/watch?v=Jwgf3wmiA04,Good,YOU TAUGHT ME HOW TO BE SOMEONE,Tricia Scott,,,,,,,,
17,2016-11-30,Classic Pop,INTOXICATED,101,2016-12-01,Death Team,Messed Up,Synth Pop,,https://www.youtube.com/watch?v=OKv7d7s8g3I,Good,EVERYBODY NEEDS SOMEBODY,Tricia Scott,,,,,,,,
17,2016-11-30,Classic Pop,INTOXICATED,102,2016-12-01,Lady Gaga,Dope,Classic Pop,,https://www.youtube.com/watch?v=x16j2sQKcT4,Good,I FEEL SO LOW FROM LIVING HIGH,Tricia Scott,,,,,,,,
18,2016-11-30,Synth Pop,POP_11_2016,103,2016-11-29,Ok GO,The One Moment,Pop/Soft Rock,,https://www.youtube.com/watch?v=QvW61K2s0tA,Good,YOU BETTER GET IT RIGHT THE 1ST TIME,itakephotos,,,,,,,,
18,2016-11-30,Synth Pop,POP_11_2016,104,2016-11-29,Noah,Make Me (Cry) ft. Labrinth,Synth Pop,,https://www.youtube.com/watch?v=vXyBcKV0UIo,Good,TOO BUSY MAKIN' HURRICANES,itakephotos,,,,,,,,
18,2016-11-30,Synth Pop,POP_11_2016,105,2016-12-01,Elohim,Hallucinating,Funk/Groove,,https://www.youtube.com/watch?v=DzOpGMg8g5M,Good,ABSENCE OF STIMULUS,itakephotos,,,,,,,,
18,2016-11-30,Synth Pop,POP_11_2016,106,2016-12-01,Kehlani,Distraction,R&B/Soul,,https://www.youtube.com/watch?v=HPHbeSGVKJo,Good,KEEP ME UP ALL NIGHT,itakephotos,,,,,,,,
18,2016-11-30,Synth Pop,POP_11_2016,107,2016-12-01,HEALTH,L.A. Looks,Synth Pop,,https://www.youtube.com/watch?v=o4r0gkByCvY,Good,SO VAIN,itakephotos,,,,,,,,
18,2016-11-30,Synth Pop,POP_11_2016,108,2016-12-01,Roosevelt,Belong,Synth Pop,,https://www.youtube.com/watch?v=RCAHULR-_V4,Good,SEE YOU FROM INSIDE,itakephotos,,,,,,,,
19,2016-12-01,Classic Pop,Comedy Pop,109,2016-11-29,YLVIS,The Fox (What Does The Fox Say?),Synth Pop,,https://www.youtube.com/watch?v=jofNR_WkoCE,Good,WILL WE EVER KNOW?,Sarah Chavez,,,,,,,,
19,2016-12-01,Classic Pop,Comedy Pop,110,2016-11-29,Katy Perry,Last Friday Night (T.G.I.F),Classic Pop,,https://www.youtube.com/watch?v=KlyXNRrsk4A,Good,DO IT ALL AGAIN,Sarah Chavez,,,,,,,,
19,2016-12-01,Classic Pop,Comedy Pop,111,2016-11-30,OutKast,Roses,Funk/Groove,,https://www.youtube.com/watch?v=gWju37TZfo0,Good,"REAL DOWN TO MARS GIRLS, HA- YEAH!",Sarah Chavez,,,,,,,,
19,2016-12-01,Classic Pop,Comedy Pop,112,2016-11-30,The Lonely Island,I Just Had Sex,Classic Pop,,https://www.youtube.com/watch?v=lQlIhraqL7o,Good,NICEST THING EVER,Sarah Chavez,,,,,,,,
